Strategy1,Year,Total Technology Annual Activity Lower Limit
BAU,2018,0
BAU,2019,0
BAU,2020,0
BAU,2021,0
BAU,2022,0.0254
BAU,2023,0.0522
BAU,2024,0.0805
BAU,2025,0.1102
BAU,2026,0.1414
BAU,2027,0.1743
BAU,2028,0.2088
BAU,2029,0.245
BAU,2030,0.2828
BAU,2031,0.3225
BAU,2032,0.364
BAU,2033,0.4073
BAU,2034,0.4525
BAU,2035,0.4997
BAU,2036,0.5489
BAU,2037,0.6001
BAU,2038,0.6534
BAU,2039,0.7088
BAU,2040,0.7665
BAU,2041,0.8264
BAU,2042,0.8886
BAU,2043,0.9531
BAU,2044,1.0199
BAU,2045,1.0893
BAU,2046,1.161
BAU,2047,1.2353
BAU,2048,1.3122
BAU,2049,1.3917
BAU,2050,1.4739
PNE & PNETh,2018,0
PNE & PNETh,2019,0
PNE & PNETh,2020,0
PNE & PNETh,2021,0
PNE & PNETh,2022,0
PNE & PNETh,2023,0.1267
PNE & PNETh,2024,0.1832
PNE & PNETh,2025,0.2646
PNE & PNETh,2026,0.3809
PNE & PNETh,2027,0.5461
PNE & PNETh,2028,0.7789
PNE & PNETh,2029,1.1029
PNE & PNETh,2030,1.5458
PNE & PNETh,2031,2.1371
PNE & PNETh,2032,2.9019
PNE & PNETh,2033,3.8502
PNE & PNETh,2034,4.967
PNE & PNETh,2035,6.2058
PNE & PNETh,2036,7.4987
PNE & PNETh,2037,8.7777
PNE & PNETh,2038,9.9928
PNE & PNETh,2039,11.1169
PNE & PNETh,2040,12.1392
PNE & PNETh,2041,13.0586
PNE & PNETh,2042,13.8802
PNE & PNETh,2043,14.6139
PNE & PNETh,2044,15.2729
PNE & PNETh,2045,15.8708
PNE & PNETh,2046,16.4208
PNE & PNETh,2047,16.9349
PNE & PNETh,2048,17.4227
PNE & PNETh,2049,17.8916
PNE & PNETh,2050,18.3481
