Emission;Strategy;Year;AnnualEmissionLimit
CO2e Light Cargo;SR15;2050;0.2583
CO2e Light Cargo;SR15;2049;0.31387
CO2e Heavy Cargo;SR15;2050;0.3585
CO2e Light Cargo;SR15;2048;0.36944
CO2e Light Cargo;SR15;2047;0.42501
CO2e Heavy Cargo;SR15;2049;0.43815
CO2e Light Cargo;SR15;2046;0.48058
CO2e Heavy Cargo;SR15;2048;0.5178
CO2e Light Cargo;SR15;2045;0.53615
CO2e Light Cargo;SR15;2044;0.59172
CO2e Heavy Cargo;SR15;2047;0.59745
CO2e Light Cargo;SR15;2043;0.64729
CO2e Heavy Cargo;SR15;2046;0.6771
CO2e Light Cargo;SR15;2042;0.70286
CO2e Heavy Cargo;SR15;2045;0.75675
CO2e Light Cargo;SR15;2041;0.75843
CO2e Light Cargo;SR15;2040;0.814
CO2e Light Cargo;SR15;2039;0.8266
CO2e Heavy Cargo;SR15;2044;0.8364
CO2e Light Cargo;SR15;2038;0.8392
CO2e Light Cargo;SR15;2037;0.8518
CO2e Light Cargo;SR15;2036;0.8644
CO2e Light Cargo;SR15;2035;0.877
CO2e Light Cargo;SR15;2034;0.8896
CO2e Light Cargo;SR15;2033;0.9022
CO2e Light Cargo;SR15;2032;0.9148
CO2e Heavy Cargo;SR15;2043;0.91605
CO2e Light Cargo;SR15;2031;0.9274
CO2e Light Cargo;SR15;2030;0.94
CO2e Heavy Cargo;SR15;2042;0.9957
CO2e Heavy Cargo;SR15;2041;1.07535
CO2e Heavy Cargo;SR15;2040;1.155
CO2e Heavy Cargo;SR15;2039;1.1749
CO2e Heavy Cargo;SR15;2038;1.1948
CO2e Heavy Cargo;SR15;2037;1.2147
CO2e Heavy Cargo;SR15;2036;1.2346
CO2e Heavy Cargo;SR15;2035;1.2545
CO2e Heavy Cargo;SR15;2034;1.2744
CO2e Heavy Cargo;SR15;2033;1.2943
CO2e Heavy Cargo;SR15;2032;1.3142
CO2e Heavy Cargo;SR15;2031;1.3341
CO2e Heavy Cargo;SR15;2030;1.354
CO2e Light Cargo;SR20;2050;0.6888
CO2e Light Cargo;SR20;2049;0.7006
CO2e Light Cargo;SR20;2048;0.7132
CO2e Light Cargo;SR20;2047;0.7258
CO2e Light Cargo;SR20;2046;0.7384
CO2e Light Cargo;SR20;2045;0.751
CO2e Light Cargo;SR20;2044;0.7636
CO2e Light Cargo;SR20;2043;0.7762
CO2e Light Cargo;SR20;2042;0.7888
CO2e Light Cargo;SR20;2041;0.8014
CO2e Light Cargo;SR20;2040;0.814
CO2e Light Cargo;SR20;2039;0.8266
CO2e Light Cargo;SR20;2038;0.8392
CO2e Light Cargo;SR20;2037;0.8518
CO2e Light Cargo;SR20;2036;0.8644
CO2e Light Cargo;SR20;2035;0.877
CO2e Light Cargo;SR20;2034;0.8896
CO2e Light Cargo;SR20;2033;0.9022
CO2e Light Cargo;SR20;2032;0.9148
CO2e Light Cargo;SR20;2031;0.9274
CO2e Light Cargo;SR20;2030;0.94
CO2e Heavy Cargo;SR20;2050;0.956
CO2e Heavy Cargo;SR20;2049;0.9759
CO2e Heavy Cargo;SR20;2048;0.9958
CO2e Heavy Cargo;SR20;2047;1.0157
CO2e Heavy Cargo;SR20;2046;1.0356
CO2e Heavy Cargo;SR20;2045;1.0555
CO2e Heavy Cargo;SR20;2044;1.0754
CO2e Heavy Cargo;SR20;2043;1.0953
CO2e Heavy Cargo;SR20;2042;1.1152
CO2e Heavy Cargo;SR20;2041;1.1351
CO2e Heavy Cargo;SR20;2040;1.155
CO2e Heavy Cargo;SR20;2039;1.1749
CO2e Heavy Cargo;SR20;2038;1.1948
CO2e Heavy Cargo;SR20;2037;1.2147
CO2e Heavy Cargo;SR20;2036;1.2346
CO2e Heavy Cargo;SR20;2035;1.2545
CO2e Heavy Cargo;SR20;2034;1.2744
CO2e Heavy Cargo;SR20;2033;1.2943
CO2e Heavy Cargo;SR20;2032;1.3142
CO2e Heavy Cargo;SR20;2031;1.3341
CO2e Heavy Cargo;SR20;2030;1.354
