Year1,Input Activity Ratio
2015,1.936
2016,1.921257143
2017,1.906514286
2018,1.891771429
2019,1.877028571
2020,1.862285714
2021,1.847542857
2022,1.8328
2023,1.818057143
2024,1.803314286
2025,1.788571429
2026,1.773828571
2027,1.759085714
2028,1.744342857
2029,1.7296
2030,1.714857143
2031,1.700114286
2032,1.685371429
2033,1.670628571
2034,1.655885714
2035,1.641142857
2036,1.6264
2037,1.611657143
2038,1.596914286
2039,1.582171429
2040,1.567428571
2041,1.552685714
2042,1.537942857
2043,1.5232
2044,1.508457143
2045,1.493714286
2046,1.478971429
2047,1.464228571
2048,1.449485714
2049,1.434742857
2050,1.42
