Year1,Technology1,Residual Capacity
,Trucks Diesel ,
2015,Trucks Diesel ,1.8682
2016,Trucks Diesel ,1.8478
2017,Trucks Diesel ,1.7957
2018,Trucks Diesel ,1.7393
2019,Trucks Diesel ,1.6778
2020,Trucks Diesel ,1.6105
2021,Trucks Diesel ,1.5389
2022,Trucks Diesel ,1.4621
2023,Trucks Diesel ,1.3797
2024,Trucks Diesel ,1.2928
2025,Trucks Diesel ,1.2008
2026,Trucks Diesel ,1.1033
2027,Trucks Diesel ,1.0011
2028,Trucks Diesel ,0.8938
2029,Trucks Diesel ,0.7811
2030,Trucks Diesel ,0.6637
2031,Trucks Diesel ,0.5411
2032,Trucks Diesel ,0.4134
2033,Trucks Diesel ,0.2807
2034,Trucks Diesel ,0.1429
2035,Trucks Diesel ,0
2036,Trucks Diesel ,0
2037,Trucks Diesel ,0
2038,Trucks Diesel ,0
2039,Trucks Diesel ,0
2040,Trucks Diesel ,0
2041,Trucks Diesel ,0
2042,Trucks Diesel ,0
2043,Trucks Diesel ,0
2044,Trucks Diesel ,0
2045,Trucks Diesel ,0
2046,Trucks Diesel ,0
2047,Trucks Diesel ,0
2048,Trucks Diesel ,0
2049,Trucks Diesel ,0
2050,Trucks Diesel ,0
,Mini Trucks ,
2015,Mini Trucks ,2.0764
2016,Mini Trucks ,1.97258
2017,Mini Trucks ,1.86876
2018,Mini Trucks ,1.76494
2019,Mini Trucks ,1.66112
2020,Mini Trucks ,1.5573
2021,Mini Trucks ,1.45348
2022,Mini Trucks ,1.34966
2023,Mini Trucks ,1.24584
2024,Mini Trucks ,1.14202
2025,Mini Trucks ,1.0382
2026,Mini Trucks ,0.93438
2027,Mini Trucks ,0.83056
2028,Mini Trucks ,0.72674
2029,Mini Trucks ,0.62292
2030,Mini Trucks ,0.5191
2031,Mini Trucks ,0.41528
2032,Mini Trucks ,0.31146
2033,Mini Trucks ,0.20764
2034,Mini Trucks ,0.10382
2035,Mini Trucks ,0
2036,Mini Trucks ,0
2037,Mini Trucks ,0
2038,Mini Trucks ,0
2039,Mini Trucks ,0
2040,Mini Trucks ,0
2041,Mini Trucks ,0
2042,Mini Trucks ,0
2043,Mini Trucks ,0
2044,Mini Trucks ,0
2045,Mini Trucks ,0
2046,Mini Trucks ,0
2047,Mini Trucks ,0
2048,Mini Trucks ,0
2049,Mini Trucks ,0
2050,Mini Trucks ,0
