Strategy1,Year1,Sum of Total Annual Max Capacity
BAU,2015,9.9481
BAU,2016,9.9213
BAU,2017,9.6466
BAU,2018,9.341
BAU,2019,9.0104
BAU,2020,8.664257228
BAU,2021,8.293644255
BAU,2022,7.929984192
BAU,2023,7.500916238
BAU,2024,7.070802163
BAU,2025,6.613884967
BAU,2026,6.13090397
BAU,2027,5.615981518
BAU,2028,5.10467745
BAU,2029,4.552436787
BAU,2030,3.97559253
BAU,2031,3.390248085
BAU,2032,2.772109923
BAU,2033,2.130870575
BAU,2034,1.467005833
BAU,2035,0.782362598
BAU,2036,0.8471056
BAU,2037,0.913939322
BAU,2038,0.982190205
BAU,2039,1.052842287
BAU,2040,1.125593483
BAU,2041,1.20114737
BAU,2042,1.276433058
BAU,2043,1.3542768
BAU,2044,1.435620677
BAU,2045,1.517715898
BAU,2046,1.599948607
BAU,2047,1.685258983
BAU,2048,1.771793842
BAU,2049,1.862062825
BAU,2050,1.9539765
NDP,2015,9.9466
NDP,2016,9.9198
NDP,2017,9.6451
NDP,2018,9.3395
NDP,2019,9.0089
NDP,2020,8.6272
NDP,2021,8.0473
NDP,2022,7.4974
NDP,2023,7.013
NDP,2024,6.49
NDP,2025,5.9824
NDP,2026,5.5044
NDP,2027,5.0533
NDP,2028,4.6757
NDP,2029,4.3505
NDP,2030,4.1126
NDP,2031,4.0013
NDP,2032,4.0102
NDP,2033,4.1572
NDP,2034,4.4323
NDP,2035,4.8048
NDP,2036,5.8277
NDP,2037,6.8534
NDP,2038,7.835
NDP,2039,8.7525
NDP,2040,9.5903
NDP,2041,10.3407
NDP,2042,10.9801
NDP,2043,11.5356
NDP,2044,12.0324
NDP,2045,12.4526
NDP,2046,12.8093
NDP,2047,13.1326
NDP,2048,13.4233
NDP,2049,13.7044
NDP,2050,13.9636
