Strategy1,Year1,Sum of Total Technology Annual Activity Lower Limit
BAU,,
BAU,2015,0
BAU,2016,0.5028
BAU,2017,1.0322
BAU,2018,1.5875
BAU,2019,2.1693
BAU,2020,2.7699
BAU,2021,3.3925
BAU,2022,4.0527
BAU,2023,4.7156
BAU,2024,5.4142
BAU,2025,6.1339
BAU,2026,6.8739
BAU,2027,7.6239
BAU,2028,8.434
BAU,2029,9.2411
BAU,2030,10.0643
BAU,2031,10.95
BAU,2032,11.8335
BAU,2033,12.0313
BAU,2034,12.2278
BAU,2035,12.427
BAU,2036,12.6639
BAU,2037,12.904
BAU,2038,13.1377
BAU,2039,13.3786
BAU,2040,13.622
BAU,2041,13.8756
BAU,2042,14.1042
BAU,2043,14.3408
BAU,2044,14.5941
BAU,2045,14.8353
BAU,2046,15.0598
BAU,2047,15.2963
BAU,2048,15.5272
BAU,2049,15.7743
BAU,2050,16.019
NDP,,
NDP,2015,0
NDP,2016,0.5028
NDP,2017,1.0322
NDP,2018,1.5875
NDP,2019,2.1693
NDP,2020,2.7699
NDP,2021,0
NDP,2022,0
NDP,2023,0
NDP,2024,0
NDP,2025,0
NDP,2026,0
NDP,2027,0
NDP,2028,0
NDP,2029,0
NDP,2030,0
NDP,2031,0
NDP,2032,0
NDP,2033,0
NDP,2034,0
NDP,2035,0
NDP,2036,0
NDP,2037,0
NDP,2038,0
NDP,2039,0
NDP,2040,0
NDP,2041,0
NDP,2042,0
NDP,2043,0
NDP,2044,0
NDP,2045,0
NDP,2046,0
NDP,2047,0
NDP,2048,0
NDP,2049,0
NDP,2050,0
