Year1,UnitCapitalCost (USD)
,
2015,34721.4251
2016,34721.4251
2017,32751.0023
2018,30780.5796
2019,29206.5165
2020,27620.9304
2021,26641.4805
2022,25650.5076
2023,24857.6407
2024,24076.4445
2025,23481.8312
2026,22887.218
2027,22292.6047
2028,21709.6622
2029,21115.0489
2030,20520.4356
2031,20473.753
2032,20427.0703
2033,20368.8647
2034,20322.182
2035,20275.4993
2036,20228.8166
2037,20170.611
2038,20123.9283
2039,20077.2457
2040,20030.7107
2041,19984.028
2042,19925.6747
2043,19879.1397
2044,19832.457
2045,19785.7744
2046,19727.5687
2047,19680.8861
2048,19634.2034
2049,19587.6684
2050,19529.3151
